"id","state"
"1840016520","Alabama"
"1840042527","Alabama"
"1840013787","Alabama"
"1840041050","Alabama"
"1840040970","Alabama"
"1840043034","Alabama"
"1076697812","Maranhão"
"1840043334","Alabama"
"1840042528","Alabama"
"1840041821","Alabama"
"1076088298","Maranhão"
"1840041859","Alabama"
"1840040791","Alabama"
"1840049846","Alabama"
"1840049937","Alabama"
"1840043190","Alabama"
"1840041585","Alabama"
"1840041380","Alabama"
"1840042670","Alabama"
"1840041666","Alabama"
"1840043028","Alabama"
"1840041951","Alabama"
"1840042545","Alabama"
"1840042501","Alabama"
"1840041253","Alabama"
"1840042260","Alabama"
"1840013848","Alabama"
"1840040987","Alabama"
"1840042925","Alabama"
"1076577900","Maranhão"
"1840041890","Alabama"
"1840043161","Alabama"
"1840041536","Alabama"
"1840040924","Alabama"
"1840042515","Alabama"
"1840042613","Alabama"
"1840042621","Alabama"
"1840043438","Alabama"
"1840043340","Alabama"
"1840025862","Alabama"
"1840042824","Alabama"
"1840042582","Alabama"
"1840040773","Alabama"
"1076540734","Mato Grosso"
"1076459192","Mato Grosso"
"1076220928","Mato Grosso"
"1076195292","Mato Grosso"
"1840041603","Alabama"
"1840015602","Alabama"
"1840040764","Alabama"
"1840043186","Alabama"
"1840050645","Idaho"
"1076638188","Mato Grosso"
"1840042903","Alabama"
"1840042666","Alabama"
"1840027012","Alabama"
"1840040938","Alabama"
"1840043311","Alabama"
"1840043376","Alabama"
"1840048499","Alabama"
"1840040927","Alabama"
"1840041396","Alabama"
"1840042319","Alabama"
"1840042672","Alabama"
"1840042897","Alabama"
"1840043339","Alabama"
"1840041512","Alabama"
"1840042104","Alabama"
"1840042481","Alabama"
"1840015699","Alabama"
"1840041211","Alabama"
"1840049685","Alabama"
"1840041904","Alabama"
"1840041584","Alabama"
"1840041325","Alabama"
"1840025932","Alabama"
"1840042949","Alabama"
"1840042405","Alabama"
"1840074952","Alabama"
"1840023734","Alabama"
"1840042686","Alabama"
"1840041407","Alabama"
"1840041212","Alabama"
"1840042427","Alabama"
"1840046555","Alabama"
"1840042599","Alabama"
"1840042213","Alabama"
"1840041501","Alabama"
"1840043211","Alabama"
"1840041263","Alabama"
"1840075147","Alabama"
"1840032539","Alabama"
"1840041886","Alabama"
"1840041499","Alabama"
"1840042134","Alabama"
"1840142849","Alabama"
"1840043227","Alabama"
"1840041479","Alabama"
"1840017095","Alabama"
"1840041871","Alabama"
"1840040997","Alabama"
"1076519769","Minas Gerais"
"1840041165","Alabama"
"1840001835","Alabama"
"1840007380","Alabama"
"1840043526","Alabama"
"1840042364","Alabama"
"1840043054","Alabama"
"1840042503","Alabama"
"1840042176","Alabama"
"1840016546","Alabama"
"1840042257","Alabama"
"1840040965","Alabama"
"1840041121","Alabama"
"1840043299","Alabama"
"1840143630","Alabama"
"1840049936","Alabama"
"1840015760","Alabama"
"1840023017","Alabama"
"1840042137","Alabama"
"1840042246","Alabama"
"1840049108","Alabama"
"1840041716","Alabama"
"1840050331","Idaho"
"1840017085","Alabama"
"1840042019","Alabama"
"1840017094","Alabama"
"1840041545","Alabama"
"1840027569","Alabama"
"1840041445","Alabama"
"1840048600","Alabama"
"1840042114","Alabama"
"1840042718","Alabama"
"1840041215","Alabama"
